"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON"
81356,"Pteraster pulvillus",NA,1999,NA,NA,NA,NA,NA,NA,81356,"Pteraster pulvillus","(blank)",89,"Sea stars",81356,"Pteraster pulvillus","",90,"Sea stars","Echinodermata","Asteroidea","Spinulosida","Pterasteridae","Pteraster","pulvillus"
81912,"Nearchaster variabilis",NA,1999,NA,NA,NA,NA,NA,NA,81912,"Nearchaster variabilis","(blank)",89,"Sea stars",81912,"Nearchaster variabilis","",90,"Sea stars","Echinodermata","Asteroidea","Notomyotida","Benthopectinidae","Nearchaster","variabilis"
69120,"Pagurus capillatus","hairy hermit crab",1984,69120,"Pagurus capillatus","hairy hermit crab",97,"hermits","Hermit crabs",69120,"Pagurus capillatus","hairy hermit crab",93,"Hermit crabs",69120,"Pagurus capillatus","hairy hermit crab",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","capillatus"
69121,"Elassochirus cavimanus","purple hermit",1984,69121,"Elassochirus cavimanus","purple hermit",97,"hermits","Hermit crabs",69121,"Elassochirus cavimanus","purple hermit",93,"Hermit crabs",69121,"Elassochirus cavimanus","purple hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Elassochirus","cavimanus"
69122,"Elassochirus gilli","Pacific red hermit",1984,NA,NA,NA,NA,NA,NA,69122,"Elassochirus gilli","Pacific red hermit",93,"Hermit crabs",69122,"Elassochirus gilli","Pacific red hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Elassochirus","gilli"
69200,"Parapagurus pliosimanus",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Parapaguridae","Parapagurus","pliosimanus"
69250,"Lithodidae","stone crab unid.",1988,NA,NA,NA,NA,NA,NA,69250,"Lithodidae","stone crab unid.",86,"Misc. crabs",69250,"Lithodidae","stone crab unid.",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae",NA,NA
69260,"Lopholithodes sp.","box crab unid.",1984,NA,NA,NA,NA,NA,NA,69260,"Lopholithodes sp.","box crab unid.",86,"Misc. crabs",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Lithodidae","Lopholithodes",NA
69270,"Lopholithodes foraminatus","brown box crab",1984,NA,NA,NA,NA,NA,NA,69270,"Lopholithodes foraminatus","box crab",86,"Misc. crabs",69270,"Lopholithodes foraminatus","brown box crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lopholithodes","foraminatus"
69280,"Lopholithodes mandtii","red box crab",1984,NA,NA,NA,NA,NA,NA,69280,"Lopholithodes mandtii","red box crab",86,"Misc. crabs",69280,"Lopholithodes mandtii","red box crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lopholithodes","mandtii"
69285,"Acantholithodes hispidus","fuzzy crab",1984,69285,"fuzzy crab","Acantholithodes hispidus",98,"misc_crabs","Misc. crabs",69285,"Acantholithodes hispidus","fuzzy crab",86,"Misc. crabs",69285,"Acantholithodes hispidus","fuzzy crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Acantholithodes","hispidus"
69290,"Lithodes sp.",NA,1984,69290,"Lithodes sp.","",89,"king_crabs","King Crab",69290,"Lithodes sp.","(blank)",85,"King Crab",69290,"Lithodes sp.","",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes",NA
69300,"Lithodes couesi","scarlet king crab",1984,NA,NA,NA,NA,NA,NA,69300,"Lithodes couesi","scarlet king crab",85,"King Crab",69300,"Lithodes couesi","scarlet king crab",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes","couesi"
