"predator","model","stratum_bin","year","lbin","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt","dietprop_sci"
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"euphausiids",4,28.46735,0.0287553137275534,0.625793581006815,0.349624791680035
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"fish_other",1,0.03008,0.000254564739737419,0.000661244229500989,0.00309515468838357
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"squids",0,0,0,0,0
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"zoop_other",3,6.11482,0.00929722011230728,0.134421191470653,0.113041320841309
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,NA,0,0,0,0,0
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"amphipods",5,0.7848,0.0014848366184343,0.0471068710125276,0.0340560299815723
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"benthos",4,2.06272,0.00693992934373834,0.123812799407443,0.159173365517861
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"copepods",5,6.0828,0.0226221535075476,0.365114264774469,0.518858929350188
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"euphausiids",4,4.80615,0.00667599116903766,0.288484566917507,0.153119712018686
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"fish_other",0,0,0,0,0
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"squids",1,0.001,1.15160511212462e-06,6.00240456326804e-05,2.64130731546769e-05
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,"zoop_other",4,2.8965,0.00582264964583708,0.173859648175059,0.133547575840307
"Atka.mackerel","AI",211,2022,"[20,999)",8,6,16.65999,0.0435998153407118,NA,4,0.02602,5.31034510046702e-05,0.00156182566736235,0.00121797421823217
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"amphipods",13,21.963,0.0391808859690232,0.20516389384499,0.225094964562194
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"benthos",8,25.868,0.0400135370042284,0.241641834265911,0.22987856122232
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"copepods",9,23.697,0.0377996120995951,0.221361780833435,0.217159518872287
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"euphausiids",5,2.1,0.00329016491061409,0.0196168181520957,0.0189020624634159
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"fish_other",1,2.056,0.00277915989252763,0.0192057991050994,0.0159663285311048
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"squids",9,26.929,0.0444958259710936,0.251552998103708,0.255629399959139
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,"zoop_other",7,4.438,0.00650461893517679,0.0414568756947623,0.0373691643895386
"Atka.mackerel","AI",212,1997,"[20,999)",15,15,107.051,0.174063804782259,NA,0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"amphipods",7,1.088,0.0152808994113242,0.0507368028352919,0.0497419553746944
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"benthos",1,0.342,0.00550514950565644,0.0159485170677112,0.0179202083378974
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"copepods",12,16.638,0.239342770022516,0.7758813654169,0.779101875174508
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"euphausiids",6,0.486,0.00666330320679797,0.0226636821488528,0.0216901977978455
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"fish_other",1,0.001,1.35366546805458e-05,4.6633090841261e-05,4.40641388257138e-05
