NODC_CODE,RACE,BASE_NAME,EGOA_PREY,A_L_mm_g,B_L,CA,CB,C_TM,C_TO,C_Q
8826010115,30240,Sebastes flavidus (yellowtail rockfish),Pelagic_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010116,0,Sebastes glaucus (gray rockfish),MISC_NA,,,NA,NA,NA,NA,NA
8826010117,30260,Sebastes goodei (chilipepper rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010118,30270,Sebastes helvomaculatus (rosethorn rockfish),Demersal_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010119,30290,Sebastes jordani (shortbelly rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010120,30320,Sebastes maliger (quillback rockfish),Demersal_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010121,30330,Sebastes melanops (black rockfish),Black_rockfish,,,NA,NA,NA,NA,NA
8826010124,30360,Sebastes mystinus (blue rockfish),MISC_NA,,,NA,NA,NA,NA,NA
8826010127,30400,Sebastes paucispinis (bocaccio),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010128,30410,Sebastes pinniger (canary rockfish),Demersal_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010129,30420,Sebastes polyspinis (northern rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010130,30430,Sebastes proriger (redstripe rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010134,30470,Sebastes ruberrimus (yelloweye rockfish),Demersal_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010135,30490,Sebastes saxicola (stripetail rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010136,30535,Sebastes variegatus (harlequin rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010137,30550,pygmy rockfish Sebastes wilsoni,Slope_rockfish,,,NA,NA,NA,NA,NA
8826010138,30560,Sebastes zacentrus (sharpchin rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010143,30130,Sebastes chlorostictus,MISC_NA,,,NA,NA,NA,NA,NA
8826010190,0,Dusky/ dark rockfish Sebastes variabilis/ ciliatus,Pelagic_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010197,30052,Sebastes melanostictus (black spotted rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010198,0,Sebastes variabilis (dusky rockfish),Pelagic_shelf_rockfish,,,NA,NA,NA,NA,NA
8826010199,0,Sebastes alutus complex (pop complex),POP,,,NA,NA,NA,NA,NA
8826010200,30010,Sebastolobus sp. (unidentified thornyhead),Thornyheads,,,NA,NA,NA,NA,NA
8826010201,30020,Sebastolobus alascanus (shortspine thornyhead),Thornyheads,,,NA,NA,NA,NA,NA
8826010202,30030,Sebastolobus altivelis (longspine thornyhead),Thornyheads,,,NA,NA,NA,NA,NA
8826010203,30025,Sebastolobus macrochir (bighand thornyhead),Thornyheads,,,NA,NA,NA,NA,NA
8827010000,21900,Hexagrammidae (greenling),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010101,21935,Hexagrammos decagrammus (kelp greenling),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010102,21934,Hexagrammos lagocephalus (rock greenling),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010103,21931,Hexagrammos octogrammus (masked greenling),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010104,21932,Hexagrammos stelleri (white-spotted greenling),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010201,21910,Ophiodon elongatus (lingcod),Lingcod,,,NA,NA,NA,NA,NA
8827010501,21921,Pleurogrammus monopterygius (Atka mackerel),Shelf_demersals,,,NA,NA,NA,NA,NA
8827010502,0,Pleurogrammus monopterygius (eggs),MISC_NA,,,NA,NA,NA,NA,NA
