pred_nodc,pred_name,pred_n,SPECIES_CODE,SPECIES_NAME,COMMON_NAME
5.71E+09,Teuthida (squid),13,NA,NA,NA
8755030501,Thaleichthys pacificus (eulachon),262,23010,Thaleichthys pacificus,eulachon
8831023701,Thyriscus anoplus (sponge sculpin),8,21308,Thyriscus anoplus,sponge sculpin
8831090403,Toad Lumpsucker Eumicrotremus phrynoides,9,22190,Eumicrotremus phrynoides,toad lumpsucker
8840010201,Trichodon trichodon (Pacific sandfish),23,21592,Trichodon trichodon,Pacific sandfish
8831023801,Triglops forficata (scissortail sculpin),47,21352,Triglops forficata,scissortail sculpin
8831023805,Triglops pingeli (ribbed sculpin),9,21355,Triglops pingeli,ribbed sculpin
8831023806,Triglops scepticus (spectacled sculpin),200,21354,Triglops scepticus,spectacled sculpin
8831023895,Triglops xenostethus (scalebreasted sculpin),1,21429,Triglops xenostethus,scalybreasted sculpin
8831080303,Ulcina olrikii (Arctic alligatorfish),35,20051,Aspidophoroides olrikii,Arctic alligatorfish
8831080804,vetern poacher Podothecus veternus,60,20041,Podothecus veternus,veteran poacher
8842150101,Zaprora silenus (prowfish),250,24001,Zaprora silenus,prowfish
