NODC_CODE,BASE_NAME,LENFEST_NAME,WEBSITE_NAME,CRAB_TEAM,ECOPATH_PREY,EBS_CRAB,GOA_MED
5001660200,Cistenides sp. (polychaete),Pectinariidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001660203,Cistenides hyperborea (polychaete),Pectinariidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001660300,polychaete Pectinaria sp.,Pectinariidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670000,Ampharetidae (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670100,Amage sp. (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670200,Ampharete sp. (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670206,Ampharete reducta (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670208,Ampharete acutifrons (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670300,Amphicteis sp. (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670500,Melinna (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670501,Melinna cristata (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670602,Sabellides borealis (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001670901,Glyphanostomum pallescens (polychaete),Ampharetidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680000,Terebellidae (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680101,Amphitrite cirrata (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680402,Neoamphitrite groenlandica (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680600,Nicolea sp. (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680700,Pista sp. (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680703,Pista elongata,Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001680800,Polycirrus sp. (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001681000,Terebellidae (polychaete) Thelepus sp,Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001681100,Artacama sp. (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001681102,Artacama proboscidea (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001681600,Lysilla sp. (polychaete),Terebellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001690000,Trichobranchidae (polychaete),Trichobranchidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001690100,Terebellides sp. (polychaete),Trichobranchidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001690101,Terebellides stroemi (polychaete),Trichobranchidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700000,Sabellidae (polychaete),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700100,Chone sp. (polychaete),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700103,Chone cincta (polychaete),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700106,Chone magna (Sabellidae),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700200,Euchone sp. (Sabellidae),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001700201,Euchone cf analis (Sabellidae),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001701401,Laonome kroyeri (Sabellidae),Sabellidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001730000,Serpulidae (polychaete),Serpulidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001730500,Spirorbis sp.,Serpulidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001910000,Aphroditiformia (polychate) ,Aphroditiformia,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001920000,Scolacida (polychaete) ,Scolacida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001930000,Aphroditoidea (polychaete) ,Aphroditoidea,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001940000,Spionida (polychaete) ,Spionida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001950000,Capitellida,Capitellida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001960000,Eunicida (polychaete),Eunicida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001970000,Phyllodocida (pllychaete),Phyllodocida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001971000,Glyceriformia,Phyllodocida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001980000,Sabellida (polychaete),Sabellida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5001990000,Terebellida (polychaete),Terebellida,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5002050000,polychaete Polygordiidae,Polygordiidae,Polychaeta,Polychaeta,Polychaete,Polychaete,Infauna
5004000000,Oligochaeta (worm),Oligochaeta,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
5012000000,Hirudinea (leech),Hirudinea,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
5085000000,Mollusca,Misc_Mollusca,Misc Mollusca,Other,Gen. Mollusc,Epifauna,Motile.epifauna
5100000000,Gastropoda (snail),Gastropod,Gastropod,Gastropod,Snail,Epifauna,Motile.epifauna
5102040000,Limpet Fissurellidae,Gastropod,Gastropod,Gastropod,Snail,Epifauna,Motile.epifauna
