"year","model","species_name","lbin","prey_type","p_tot_bioen","p_tot_vonb","tot_bioen","tot_vonb","bioen_prop","vonb_prop"
2006,"EBS","Walleye_pollock","[12,25)","Other fish",0.0111391783746215,3.30400743138397,88.8272480868495,20495.00756629,0.000125402718361041,0.000161210354311768
2006,"EBS","Walleye_pollock","[12,25)","Other plankton",0.618947813058184,151.405855272434,88.8272480868495,20495.00756629,0.00696799491585079,0.00738745056730131
2006,"EBS","Walleye_pollock","[12,25)","Walleye pollock",0,0,88.8272480868495,20495.00756629,0,0
2006,"EBS","Walleye_pollock","[25,40)","Amphipods",0.722867174257453,275.599731299625,21.0801201985604,8036.98890941464,0.0342914161517361,0.0342914161517361
2006,"EBS","Walleye_pollock","[25,40)","Benthos",0,0,21.0801201985604,8036.98890941464,0,0
2006,"EBS","Walleye_pollock","[25,40)","Copepods",6.42986622153954,2451.44539142913,21.0801201985604,8036.98890941464,0.305020377539339,0.305020377539339
2006,"EBS","Walleye_pollock","[25,40)","Euphausiids",12.7284321826508,4852.83135592306,21.0801201985604,8036.98890941464,0.603812125488737,0.603812125488737
2006,"EBS","Walleye_pollock","[25,40)","Other fish",0,0,21.0801201985604,8036.98890941464,0,0
2006,"EBS","Walleye_pollock","[25,40)","Other plankton",1.1989546201126,457.11243076282,21.0801201985604,8036.98890941464,0.0568760808201878,0.0568760808201878
2006,"EBS","Walleye_pollock","[25,40)","Walleye pollock",0,0,21.0801201985604,8036.98890941464,0,0
2006,"EBS","Walleye_pollock","[40,999)","Amphipods",241.236136001702,100146.632085377,8961.28896711161,3180055.27540199,0.0269198032656967,0.0314921041970621
2006,"EBS","Walleye_pollock","[40,999)","Benthos",108.830805235961,43380.6464977624,8961.28896711161,3180055.27540199,0.0121445481375922,0.0136414756162623
2006,"EBS","Walleye_pollock","[40,999)","Copepods",4337.1006358069,1469344.5051298,8961.28896711161,3180055.27540199,0.483981785625292,0.462049989034879
2006,"EBS","Walleye_pollock","[40,999)","Euphausiids",3144.88323664001,1125769.21128093,8961.28896711161,3180055.27540199,0.350940947020222,0.354009321784077
2006,"EBS","Walleye_pollock","[40,999)","Other fish",276.487364899433,121778.293267588,8961.28896711161,3180055.27540199,0.0308535263078956,0.038294395135064
2006,"EBS","Walleye_pollock","[40,999)","Other plankton",712.694995728063,268845.653924211,8961.28896711161,3180055.27540199,0.0795304111209549,0.0845411889547192
