SURVEY,MODEL,STRAT_GROUPS,STRATUM,AREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
GOA,WGOA,WC_GOA,420,1953.21,840.567,Chirikof,501,700,Chirikof Slope                ,929,995,925,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,520,3065.55,869.313,Chirikof,701,1000,Chirikof Slope                ,929,996,926,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,30,5766.075,2047.126,Kodiak,1,100,Albatross Shallows            ,939,991,931,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,31,15403.147,1309.388,Kodiak,1,100,Albatross Banks               ,939,991,931,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,32,9886.88,837.051,Kodiak,1,100,Lower Cook Inlet              ,939,991,931,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,33,5260.082,2272.262,Kodiak,1,100,Kenai Peninsula               ,939,991,931,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,35,2199.622,1414.556,Kodiak,1,100,Northern Kodiak Shallows      ,939,991,931,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,130,7911.775,1287.377,Kodiak,101,200,Albatross Gullies             ,939,992,932,CENTRAL GOA,GULLY
GOA,WGOA,WC_GOA,131,7336.402,534.75,Kodiak,101,200,Portlock Flats                ,939,992,932,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,132,10980.778,745.385,Kodiak,101,200,Barren Islands                ,939,992,932,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,133,12077.011,989.657,Kodiak,101,200,Kenai Flats                   ,939,992,932,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,134,5025.806,1235.143,Kodiak,101,200,Kodiak Outer Shelf            ,939,992,932,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,230,6659.46,1012.591,Kodiak,201,300,Kenai Gullies                 ,939,993,933,CENTRAL GOA,GULLY
GOA,WGOA,WC_GOA,231,1622.614,1004.86,Kodiak,201,300,Kodiak Slope                  ,939,993,933,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,232,3208.227,333.202,Kodiak,201,300,Upper Shelikof Gully          ,939,993,933,CENTRAL GOA,GULLY
GOA,WGOA,WC_GOA,330,2911.769,1337.188,Kodiak,301,500,Kodiak Slope                  ,939,994,934,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,430,1744.835,1276.398,Kodiak,501,700,Kodiak Slope                  ,939,995,935,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,530,3493.863,1316.058,Kodiak,701,1000,Kodiak Slope                  ,939,996,936,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,10,8332.718,1700.816,Shumagin,1,100,Fox Islands                   ,919,991,911,WESTERN GOA,SHELF
GOA,WGOA,WC_GOA,11,13681.241,868.189,Shumagin,1,100,Davidson Bank                 ,919,991,911,WESTERN GOA,SHELF
GOA,WGOA,WC_GOA,12,6875.823,1918.516,Shumagin,1,100,Lower Alaska Peninsula        ,919,991,911,WESTERN GOA,SHELF
GOA,WGOA,WC_GOA,13,12398.789,1783.463,Shumagin,1,100,Shumagin Bank                 ,919,991,911,WESTERN GOA,SHELF
GOA,WGOA,WC_GOA,110,4245.316,639.47,Shumagin,101,200,Sanak Gully                   ,919,992,912,WESTERN GOA,GULLY
GOA,WGOA,WC_GOA,111,8153.739,2081.775,Shumagin,101,200,Shumagin Outer Shelf          ,919,992,912,WESTERN GOA,SHELF
GOA,WGOA,WC_GOA,112,2278.242,348.565,Shumagin,101,200,West Shumagin Gully           ,919,992,912,WESTERN GOA,GULLY
GOA,WGOA,WC_GOA,210,2787.949,1878.436,Shumagin,201,300,Shumagin Slope                ,919,993,913,WESTERN GOA,SLOPE
GOA,WGOA,WC_GOA,310,2531.101,1778.137,Shumagin,301,500,Shumagin Slope                ,919,994,914,WESTERN GOA,SLOPE
GOA,WGOA,WC_GOA,410,2005.603,1847.096,Shumagin,501,700,Shumagin Slope                ,919,995,915,WESTERN GOA,SLOPE
GOA,WGOA,WC_GOA,510,1937.22,1932.281,Shumagin,701,1000,Shumagin Slope                ,919,996,916,WESTERN GOA,SLOPE
GOA,EGOA,E_GOA,50,6546.325,3271.581,Southeastern,1,100,Southeastern Shallows         ,959,991,951,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,150,4196.382,808.483,Southeastern,101,200,Baranof-Chichagof Shelf       ,959,992,952,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,151,6887.844,1094.22,Southeastern,101,200,Prince of Wales Shelf         ,959,992,952,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,250,1125.262,666.829,Southeastern,201,300,Baranof-Chichagof Slope       ,959,993,953,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,251,3927.061,1157.364,Southeastern,201,300,Prince of Wales Slope/Gullies ,959,993,953,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,350,2344.327,460.034,Southeastern,301,500,Southeastern Deep Gullies     ,959,994,954,EASTERN GOA,GULLY
GOA,EGOA,E_GOA,351,772.66,1003.884,Southeastern,301,500,Southeastern Slope            ,959,994,954,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,450,1033.46,1052.722,Southeastern,501,700,Southeastern Slope            ,959,995,955,EASTERN GOA,SLOPE
