"Model","Predator","Year","Stratgroup","Lbin","Pred_n","Prey_guild","SCI_mean","X0.","X2.5.","X25.","X50.","X75.","X97.5.","X100."
"AI","Pacific_cod",2014,"Southern_Bering","[60,85)",37,"Other_fish",0.0155800118835516,0.00149691958647826,0.00603997801713569,0.0114702776231443,0.015099891646297,0.0192366102041927,0.0282830946985239,0.0450513196643354
"AI","Pacific_cod",2014,"Southern_Bering","[60,85)",37,"Atka_mackerel",0.00331824763161388,0,0,0,0.00331824763161388,0.00663649526322776,0.00995474289484164,0.0232277334212972
"AI","Pacific_cod",2014,"Western_Aleutians","[30,60)",88,"Invertebrates",0.00939058172713958,0.00659218183871287,0.00776487665949589,0.00879850475047382,0.00937945999527057,0.00996958990234151,0.0112005106874,0.0153110468448617
"AI","Pacific_cod",2014,"Western_Aleutians","[30,60)",88,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Western_Aleutians","[30,60)",88,"Other_fish",0.00313500706390695,0.00112459363530386,0.00192991845977528,0.00262327967228484,0.00308721867738947,0.00357683594588629,0.00467891802988359,0.00626413916917751
"AI","Pacific_cod",2014,"Western_Aleutians","[30,60)",88,"Atka_mackerel",0.000577036197305616,0,0,7.48582407995009e-05,0.000577036197305616,0.00100435591301223,0.00173110859191685,0.00323764246143519
"AI","Pacific_cod",2014,"Western_Aleutians","[60,85)",60,"Invertebrates",0.00511614765637892,0.00217056171220598,0.00336882274414376,0.00439419376676994,0.00503749463236307,0.00572740594286824,0.00722921743868898,0.010465443455206
"AI","Pacific_cod",2014,"Western_Aleutians","[60,85)",60,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Western_Aleutians","[60,85)",60,"Other_fish",0.00317076572547248,0.000830999537134141,0.00169856399028462,0.00261188427001242,0.003151564355959,0.00369453763492999,0.00485285878597207,0.00639935748824086
"AI","Pacific_cod",2014,"Western_Aleutians","[60,85)",60,"Atka_mackerel",0.00384966435423966,0,0.000901184417214708,0.00260718831803568,0.00371634875841858,0.00491186841573927,0.00753420985953616,0.0118061196950993
"AI","Pacific_cod",2014,"Western_Aleutians","[85,999)",13,"Invertebrates",0.000732356403899878,0,5.86023108096765e-05,0.000201069917788228,0.000699279194417342,0.00120265077237251,0.00193382546445844,0.00349995906879691
"AI","Pacific_cod",2014,"Western_Aleutians","[85,999)",13,"MISC_NA",5.36545143498503e-06,0,0,0,5.36545143498503e-06,1.07309028699701e-05,1.60963543049551e-05,3.75581600448952e-05
