year,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.
2011,5502.115811,14330.65953,15785.4563,16832.76916,17710.80897,18497.59876,19226.59775,19922.50898,20608.35762,21291.86928,21984.76467,22697.23979,23445.23339,24235.66898,25093.15724,26051.32235,27166.64931,28504.55293,30291.93914,33119.21346,81765.10331
2012,1515.709808,4060.121649,4509.266651,4832.655371,5099.435538,5340.651029,5563.986984,5776.726046,5982.98278,6189.775467,6396.969535,6609.850443,6831.457645,7068.479953,7323.582618,7607.172002,7933.024102,8325.445883,8845.049032,9651.037898,19211.59981
2013,2256.765228,6632.828099,7318.046744,7812.335251,8219.000102,8584.62374,8922.099105,9242.59047,9552.842034,9863.578696,10172.53478,10488.81933,10821.72296,11170.85639,11547.59334,11966.67397,12441.09589,13015.65405,13763.68018,14931.92646,31362.75712
2014,4238.483972,10575.73909,11581.16491,12309.54823,12912.76369,13450.50347,13947.34442,14420.41433,14881.96452,15343.17616,15806.09061,16284.0842,16779.30474,17305.94226,17877.20311,18513.02562,19238.98647,20111.66523,21285.48011,23136.59897,46543.3199
2015,5909.00652,12385.01407,13477.6586,14257.07438,14901.49589,15476.83278,16011.66862,16522.63165,17017.60147,17512.3253,18011.1367,18521.43047,19055.68727,19618.19512,20235.6061,20919.82817,21713.3758,22680.73981,23962.81977,26035.34347,58388.77035
2016,8872.174908,19397.29298,20976.45973,22083.75714,22999.19099,23800.71018,24542.5381,25243.65602,25919.65139,26592.90552,27262.16936,27948.28817,28658.89186,29412.79654,30215.71601,31093.88118,32101.74965,33311.48285,34887.5655,37297.09005,67333.3723
2017,3936.282784,15462.26573,17332.04414,18677.18539,19792.59274,20781.42189,21698.00011,22570.14748,23414.2989,24245.5181,25091.51138,25945.29837,26823.58628,27757.88805,28756.64166,29852.03505,31111.04268,32598.90579,34523.22642,37453.86647,68067.57208
2018,4617.016165,11322.28425,12434.95762,13228.52631,13889.64053,14474.47483,15013.79128,15528.70414,16031.42057,16529.38897,17031.5459,17543.7316,18077.89576,18643.74244,19244.97717,19917.97221,20692.50956,21623.87066,22849.91425,24758.64079,46453.9192
2019,2468.441613,8344.296863,9429.145893,10215.87263,10879.69783,11469.94684,12015.12028,12541.49747,13049.22936,13556.53044,14072.52448,14598.22269,15148.91269,15731.02006,16362.24482,17062.46021,17859.39875,18815.94225,20057.78657,22002.50098,45307.33068
2021,1538.177136,7317.202091,8597.770652,9552.345132,10363.12344,11095.57077,11778.98667,12436.0517,13080.82949,13719.29659,14368.00741,15033.42613,15730.86774,16475.61663,17279.7112,18174.95149,19196.78354,20415.9803,21980.54514,24422.85804,47513.78996
2022,821.9378599,3164.110848,3636.782299,3990.799008,4294.086566,4570.580123,4831.439206,5085.16617,5339.048781,5593.982342,5858.297956,6130.804164,6421.650253,6731.536841,7073.859783,7462.823494,7912.502634,8470.007772,9216.643123,10436.76813,30129.79023
2023,879.372531,4594.889342,5429.263625,6065.196282,6613.055279,7119.677462,7607.052856,8085.249684,8561.86202,9041.178714,9537.680734,10061.42411,10617.12443,11223.00961,11893.07605,12654.7395,13557.9243,14678.332,16220.6569,18738.38246,52247.16804
